"","Estimate","Est.Error","Q2.5","Q97.5"
"8044",33.1586963000442,3.05618450577865,27.2449601277149,39.1143117956686
"8045",26.6296415076989,3.08345363653793,20.5781623916712,32.7375556456179
"8046",27.9458965898892,3.06125993338913,21.9898821670191,34.108305082368
"8047",27.6442929509255,3.04581149184158,21.6865019371537,33.5428573539341
"8048",25.7842697404974,3.06061596093358,19.8664550276479,31.6811029277053
"8049",33.3737410142166,3.05823744271554,27.3357120643649,39.2750094214432
"8050",33.0102542375457,3.03514797177519,27.148387944402,39.0415526996968
"8051",30.0689444892224,3.09722022355703,24.0524873880518,36.1344015848144
"8052",34.0030485717585,3.08019745633783,27.9950375248726,40.0802983256046
"8053",35.22621777509,3.10892307011552,29.1529876278099,41.2276282051858
"8054",35.7358418079189,3.07151360406675,29.6047164357011,41.736219633555
"8055",25.765373132873,3.04128340653568,19.8007153141277,31.640986993582
"8056",25.8964686014847,3.03951914986724,19.7982549275109,31.7815816286781
"8057",26.0228169428463,3.05660888432957,20.1416805872263,32.080020605685
"8058",29.571798008543,3.05153314681626,23.5426403909505,35.5803898713908
"8059",33.733915044751,3.05427261201612,27.7487246268194,39.7889015380688
"8060",25.5315468064587,3.0452121263801,19.5690159362816,31.4012081341357
"8061",29.9822628544611,3.01775993846767,24.0051865491801,35.8576697731398
"8062",36.2850266893257,3.03975417337264,30.3973512894144,42.4153225584704
"8063",28.3021863553153,3.06215176957048,22.3842826321002,34.3930091522618
"8064",26.2295946419094,3.05940442713413,20.2744881225469,32.2901980805949
"8065",31.1639771952185,3.06842816799983,25.1200567840879,37.0561570028694
"8066",33.5355201527151,2.99956700066043,27.6150957966707,39.2794333640763
"8067",27.8517084620897,3.10512883088797,21.6156246659733,33.8140914072605
"8068",26.3660651179609,3.05672335029479,20.3545565523735,32.3746339671945
"8069",25.8567460015879,3.03421807361749,19.9416060331311,31.6578613851629
"8070",32.0346334159411,2.98740275139894,26.3013612165295,37.9154300251392
"8071",28.4583074027517,3.00742931080699,22.5220767108025,34.3235389434895
"8072",36.0245877270709,3.05991510510677,30.1426146401503,42.0250596815755
"8073",33.9484067477152,3.03469363233122,28.0186398095796,39.9433483236014
"8074",29.9441383889213,3.07739396263062,23.9716006210176,35.9112855064516
"8075",28.4913164534837,3.09368765350888,22.360576100088,34.6521617301017
"8076",26.918915431276,3.0173041895326,20.9797353337513,32.7602753574466
"8077",28.6800272751158,3.04471051466585,22.6819310129254,34.7543572982242
"8078",30.0760065623268,3.0808396047047,23.9948206050302,35.9880269112654
"8079",29.5131210892212,3.01979812585791,23.6703753546492,35.4712196891166
"8080",26.5130808115374,3.08992664449089,20.2609922869615,32.5334452417929
"8081",27.2062051637582,3.12609549915689,20.9758016762005,33.2329555048093
"8082",25.846438855505,3.08553950421585,19.8383795291266,31.94092798981
"8083",25.473712775112,3.07459069002737,19.3583967686549,31.5329321881489
"8084",35.6282239247303,3.02105090503494,29.5886533764648,41.4117255056024
"8085",26.6423502220073,3.05059159485792,20.7044053751689,32.5960569643246
"8086",29.0954132433511,3.07161422341967,22.9171973720119,35.030059071691
"8087",26.7546516476625,2.9910086675073,20.9283380614751,32.7259574022911
"8088",25.597430095267,3.03462033001856,19.737219658953,31.5498750552833
"8089",27.0179643342615,3.04313559241006,21.0079887896731,33.1354116845551
"8090",31.0423036757958,3.03567711082296,25.1543726519378,36.9735221045561
"8091",26.7520799207337,3.0756913377355,20.5787388924641,32.833261621558
"8092",28.9530222204491,3.03140111328835,23.0502553832357,34.9911234021274
"8093",32.7533498298177,3.04003146252054,26.6483377003275,38.5914838448935
